District Name,Average_Price_min,Average_prices_max,Average_prices_modal
Akola,4735.01677852349,5047.4496644295305,4958.140939597315
Amarawati,4617.216624685138,4913.3753148614605,4759.581863979849
Aurangabad,4732.133757961784,5075.3184713375795,4989.283439490446
Beed,4842.541333333334,5150.845333333334,5008.536
Buldhana,4244.712933753944,5177.558359621451,4816.132492113565
Chandrapur,4578.978189749182,5150.735005452562,4919.143947655398
Dhule,5482.809523809524,5616.809523809524,5554.9047619047615
Gadchiroli,4500.0,4500.0,4500.0
Hingoli,4949.8387096774195,5217.387096774193,5096.948387096774
Jalana,3955.0602678571427,4951.09375,4379.950892857143
Jalgaon,4566.783216783217,5208.755244755244,4859.650349650349
Nagpur,4771.308013355592,5129.476627712855,5000.10183639399
Nanded,4731.290262172284,5258.067415730337,5002.949438202248
Nandurbar,5267.6736842105265,5442.6736842105265,5389.284210526316
Parbhani,4289.650602409639,5169.121820615796,5008.1352074966535
Vashim,4650.847457627118,4655.932203389831,4653.389830508475
Wardha,4558.496960486322,5180.503039513678,4919.613981762918
Yavatmal,4630.029368575624,5134.85315712188,4977.43906020558
