District ID,District Name,Bajra_Yield,Cotton_Yield,grnut_Yield,jowar_Yield,maiz_Yield,moong_Yield,onion_Yield,ragi_Yield,rice_Yield,soya_Yield,tur_Yield,wheat_Yield,Total_yield,bajra,cotton,groundnut,jowar,maize,moong,onion,ragi,rice,soybean,tur,wheat,B_Y_n,C_Y_n,G_Y_n,J_Y_n,Mz_Y_n,M_Y_n,O_Y_n,Rg_Y_n,R_Y_n,S_Y_n,T_Y_n,W_Y_n,Total_p,B_P,C_P,G_P,J_P,Mz_P,M_P,O_P,Rg_P,R_P,S_P,T_P,W_P
1,Bagalkot,1.55,1.24,1.235,0.94,4.25,0.17,14.35,1.21,2.85,1.2,0.57,1.55,31.115,10898.68889,1395.9,32534.15,56396.55,72028.55,21738.30556,33735.9,6.533333333,29.7,959.2,36062.4,26037,16892.9677795,1730.916,40179.67525,53012.757,306121.3375,3695.5119452,484110.165,7.90533333293,84.645,1151.04,20555.568,40357.35,967899.838808033,0.02,0,0.04,0.05,0.32,0,0.5,0,0,0,0.02,0.04
2,BANGALORE RURAL,1.45,0.76,0.76,1.37,4.085,0.29,11.18,2.075,2.97,0,0.905,1,26.845,3.266666667,0.816666667,75.40555556,148.6333333,10974.15,0,51.15,38790.65556,517.55,0,1189.1,0.272222222,4.73666666715,0.62066666692,57.3082222256,203.627666621,44829.40275,0,571.857,80490.610287,1537.1235,0,1076.1355,0.272222222,128771.694481403,0,0,0,0,0.35,0,0,0.63,0.01,0,0.01,0
3,Belgaum,1.16,1.13,1.13,1.27,4.135,0.44,11.18,1.31,2.41,1.245,0.6,1.57,27.58,4577.416667,65067.2,35052.6,119815.55,165480.7,23352.31111,6040.65,402.0722222,64962.7,81818.55004,11637.45,46808.3,5309.80333372,73525.936,39609.438,152165.7485,684262.6945,10275.0168884,67534.467,526.714611082,156560.107,101864.0947998,6982.47,73489.031,1372105.521633,0,0.05,0.03,0.11,0.5,0.01,0.05,0,0.11,0.07,0.01,0.05
4,BELLARY,1.49,1.3,1.3,2.15,3.285,0.35,11.67,1.18,3.875,1,0.745,1.075,29.42,10889.43333,57635.05,66669.9,38014.35,165952.6,90.65,9348.35,6293.505556,109072.3278,2.2,6280.438889,164.6944444,16225.2556617,74925.565,86670.87,81730.8525,545154.291,31.7275,109095.2445,7426.33655608,422655.270225,2.2,4678.926972305,177.04652773,1348773.58644282,0.01,0.06,0.06,0.06,0.4,0,0.08,0.01,0.31,0,0,0
5,BENGALURU URBAN,1.28,0.9,0.9,1.37,3.975,0.355,10.78,1.715,3.42,1,0.78,1,27.475,3.266666667,7.7,46.00555556,200.75,1298,4.9,36.3,12375.96111,347.05,2.2,583.55,0.816666667,4.18133333376,6.93,41.405000004,275.0275,5159.55,1.7395,391.314,21224.77330365,1186.911,2.2,455.169,0.816666667,28750.0173036548,0,0,0,0.01,0.18,0,0.01,0.74,0.04,0,0.02,0
6,Bidar,1.11,0.93,0.93,1.14,2.77,0.64,10.6,1.17,1.29,1.32,1.05,1.14,24.09,734.7277778,514.8,27.22222222,39718.25,1296.35,33541.75,664.95,3.266666667,445.0833333,150812.2,59994.36667,2064.533333,815.547833358,478.764,25.3166666646,45278.805,3590.8895,21466.72,7048.47,3.82200000039,574.157499957,199072.104,62994.0850035,2353.56799962,343702.2495031,0,0,0,0.13,0.01,0.06,0.02,0,0,0.58,0.18,0.01
7,Bijapur,0.83,0.68,0.685,0,3.075,0.125,12.33,1.2,2.86,0.97,0.465,0.835,24.055,12283.75556,12709.78333,16890.84444,0,52982.05002,3869.094444,14230.15,20.68888889,66.55,16.5,213286.1111,44746.9,10195.5171148,8642.6526644,11570.2284414,0,162919.8038115,483.6368055,175457.7495,24.826666668,190.333,16.005,99178.0416615,37363.6615,506042.456165768,0.02,0.02,0.02,0,0.32,0,0.35,0,0,0,0.2,0.07
8,CHAMARAJANAGAR,1.89,1.2,1.195,0.9,4.25,0.2,11.19,1.98,3.635,0.98,0.71,1,29.13,600.7944444,9411.05,2902.977778,9011.372222,32139.25,993.8833333,4452.8,16294.3,7395.85,25.3,961.4,0.55,1135.501499916,11293.26,3469.05844471,8110.2349998,136591.8125,198.77666666,49826.832,32262.714,26883.91475,24.794,682.594,0.55,270480.042861086,0,0.04,0.01,0.03,0.5,0,0.18,0.12,0.1,0,0,0
9,CHIKBALLAPUR,1.25,0.88,0.88,1.37,2.985,0.33,12.82,1.56,3.395,1,0.66,1,28.13,86.02222222,86.9,23332.65,8187.85,50765,41.69124579,1165.45,32225.34764,558.25,4.4,8325.35,1.088888889,107.527777775,76.472,20532.732,11217.3545,151533.525,13.7581111107,14941.069,50271.5423184,1895.25875,4.4,5494.731,1.088888889,256089.459346175,0,0,0.08,0.04,0.59,0,0.06,0.2,0.01,0,0.02,0
10,CHIKMAGALUR,0.91,1.03,1.03,0.88,2.945,0.2,8.83,1.295,2.455,1,0.78,1,22.355,9.255555556,1964.6,5052.85,14638.8,19733.45,2201.188889,6093.45,21524.88333,25473.25,3.3,462.55,1.65,8.42255555596,2023.538,5204.4355,12882.144,58115.01025,440.2377778,53805.1635,27874.72391235,62536.82875,3.3,360.789,1.65,223256.243245706,0,0.01,0.02,0.06,0.26,0,0.24,0.12,0.28,0,0,0
11,CHITRADURGA,0.73,0.72,0.72,0.77,3.145,0.125,12,1.45,2.165,1,0.605,1.03,24.46,1526.077778,10888.35,45481.8,4915.244444,101987.6,2565.15,30102.6,19513.97778,1334.85,11,9565.6,276.1,1114.03677794,7839.612,32746.896,3784.73822188,320751.002,320.64375,361231.2,28295.267781,2889.95025,11,5787.188,284.383,765055.91778082,0,0.01,0.04,0,0.42,0,0.47,0.04,0,0,0.01,0
12,DAVANGERE,1.04,1.29,1.29,1.55,3.395,0.285,11.6,1.475,3.535,1.265,1.04,1.08,28.845,553.1555556,4293.3,8104.327778,3659.483333,167015.9889,84.11666667,7107.65,8402.955556,104540.15,33.55,7091.15,54.17222222,575.281777824,5538.357,10454.58283362,5672.19916615,567019.2823155,23.97325000095,82448.74,12394.3594451,369549.43025,42.44075,7374.796,58.5059999976,1061151.94878819,0,0.01,0.01,0.01,0.53,0,0.08,0.01,0.35,0,0.01,0
13,Dharwad,1.02,0.78,0.78,0.66,2.885,0.24,3.12,1.61,0.75,0.8,0.36,0.59,13.595,14.7,52600.9,13594.77778,30062.58889,38849.8,23425.26667,11455.65556,20.41666667,9127.066667,35265.45,410.7833333,17731.46667,14.994,41028.702,10603.9266684,19841.3086674,112081.673,5622.0640008,35741.6453472,32.8708333387,6845.30000025,28212.36,147.881999988,10461.5653353,270634.291852677,0,0.15,0.04,0.07,0.41,0.02,0.13,0,0.03,0.1,0,0.04
14,Gadag,0.89,0.64,0.64,0.545,2.475,0.125,8.34,1.2,2.825,1.24,0.455,0.465,19.84,1575.622222,16578.60556,20785.52778,38693.39444,51377.7,13308.77178,32806.4,9.527777778,3377,25.85,1728.066667,9042.112843,1402.30377758,10610.3075584,13302.7377792,21087.8999698,127159.8075,1663.5964725,273605.376,11.4333333336,9540.025,32.054,786.270333485,4204.582471995,463406.394196294,0,0.02,0.03,0.05,0.27,0,0.59,0,0.02,0,0,0.01
15,Gulbarga,2.21,1.05,1.055,1.12,3.44,0.595,11.61,1.2,3,1.655,1.04,1.8,29.775,2494.372222,71759.6,4087.416667,182321.15,1364.55,67532.3,4246,18.78333333,9853.8,19623.45,448326.5111,4717.066667,5512.56261062,75347.58,4312.224583685,204199.688,4694.052,40181.7185,49296.06,22.539999996,29561.4,32476.80975,466259.571544,8490.7200006,920354.926988901,0.01,0.08,0,0.22,0.01,0.04,0.05,0,0.03,0.04,0.51,0.01
16,Hassan,0.91,0.76,0.765,0.93,4.545,0.185,12.72,1.7,2.8,1,0.49,1,27.805,26.13333333,95.15,286.3777778,3801.855556,93707.9,4260.277778,73.15,45487.51667,37634.3,13.2,751.3333333,4.95,23.7813333303,72.314,219.079000017,3535.72566708,425902.4055,788.15138893,930.468,77328.778339,105376.04,13.2,368.153333317,4.95,614563.046561674,0,0,0,0.01,0.69,0,0,0.13,0.17,0,0,0
17,Haveri,0.83,1.02,1.025,0.73,3.18,0.235,5.92,1.2,1.71,0.84,0.835,0.29,17.815,1.633333333,83109.95,11711.54444,21667.25556,207057.4,26189.83889,3461.85,126.0388889,17699.34444,3655.944444,1476.2,0,1.35566666639,84772.149,12004.333051,15817.0965588,658442.532,6154.61213915,20494.152,151.24666668,30265.8789924,3070.99333296,1232.627,0,832406.976407656,0,0.1,0.01,0.02,0.79,0.01,0.02,0,0.04,0,0,0
18,Kodagu,0,1.01,0.995,0,5.33,0.33,0,1.21,2.58,0,0,1,12.455,0,0,39.05,0,3187.25,123.4074074,0,16.87777778,12575.03333,0,0,1.1,0,0,38.85475,0,16988.0425,40.724444442,0,20.4221111138,32443.5859914,0,0,1.1,49532.7297969558,0,0,0,0,0.34,0,0,0,0.65,0,0,0
19,Kolar,0.91,1.03,1.035,1.37,3.49,0.33,11,1.86,2.48,1,0.79,0,25.295,26.67777778,0,5126.488889,598.4,666.6,23.65,330,58973.58333,2463.45,1.65,2392.5,0,24.2767777798,0,5305.916000115,819.808,2326.434,7.8045,3630,109690.8649938,6109.356,1.65,1890.075,0,129806.185271695,0,0,0.04,0.01,0.02,0,0.03,0.85,0.05,0,0.01,0
20,Koppal,1.25,0.94,0.94,0.585,2.51,0.195,8.69,1.2,3.7,1,0.42,0.61,22.04,39813.58889,7543.8,17692.26667,23808.01111,75368.7,13658.47778,14124.55,18.78333333,71018.2,7.7,11431.97222,2963.683333,49766.9861125,7091.172,16630.7306698,13927.68649935,189175.437,2663.4031671,122742.3395,22.539999996,262767.34,7.7,4801.4283324,1807.84683313,671404.610114276,0.07,0.01,0.02,0.02,0.28,0,0.18,0,0.39,0,0.01,0
21,Mandya,0.92,0.79,0.79,1.37,3.1,0.32,12.4,1.585,3.1,0.98,0.65,1,27.005,3.538888889,2.2,568.7,1791.35,7577.35,172.5888889,192.5,35145.52222,56035.65,36.3,763.95,0.55,3.25577777788,1.738,449.273,2454.1495,23489.785,55.228444448,2387,55705.6527187,173710.515,35.574,496.5675,0.55,258789.288940926,0,0,0,0.01,0.09,0,0.01,0.22,0.67,0,0,0
22,Mysore,0.89,1.05,1.05,1.02,3.46,0.425,11.33,1.545,3.035,0.99,0.835,1,26.63,4.9,50314,1149.594444,4108.377778,41561.3,6525.2,22,27689.62778,90679.6,38.5,3183.95,1.65,4.361,52829.7,1207.0741662,4190.54533356,143802.098,2773.21,249.26,42780.4749201,275212.586,38.115,2658.59825,1.65,525747.67266986,0,0.1,0,0.01,0.27,0.01,0,0.08,0.52,0,0.01,0
23,Raichur,1.13,2.13,1.065,1.455,5.395,0.28,10.93,1.2,2.715,1,0.53,0.885,28.715,23609.83333,115186.5,29129.65,107140,3405.05,515.8611111,1713.25,22.86666667,158615.05,4.95,38402.66111,113.2444444,26679.1116629,245347.245,31023.07725,155888.7,18370.24475,144.441111108,18725.8225,27.440000004,430639.86075,4.95,20353.4103883,100.221333294,947304.524745606,0.03,0.26,0.03,0.16,0.02,0,0.02,0,0.45,0,0.02,0
24,RAMANAGARA,0.97,1.14,1.145,1.37,3.21,0.315,9.52,2.075,5.12,1,0.635,1,27.5,25.86111111,0.55,1473.45,463.5944444,3017.3,28.58333333,11.55,61490.38889,4107.4,2.75,2615.8,0.272222222,25.0852777767,0.627,1687.10025,635.124388828,9685.533,9.00374999895,109.956,127592.55694675,21029.888,2.75,1661.033,0.272222222,162438.929835576,0,0,0.01,0,0.06,0,0,0.79,0.13,0,0.01,0
25,Shimoga,1.98,0.93,0.93,2.405,4.285,0.22,13,1.525,2.545,1.5,0.78,0,30.1,2.45,1510.85,108.8888889,178.75,60190.46109,0,1.1,405.8833333,103731.65,0.544444444,139.9222222,0,4.851,1405.0905,101.266666677,429.89375,257916.12577065,0,14.3,618.9720832825,263997.04925,0.816666666,109.139333316,0,524597.505020591,0,0,0,0,0.49,0,0,0,0.5,0,0,0
26,Tumkur,1.29,0.67,0.685,1.19,2.145,0.165,10.23,1.33,2.645,1,0.3,1.065,22.715,54.98888889,1236.4,32510.95556,588.2722222,27275.05,4349.566667,501.6,75303.47222,6498.8,6.05,5844.611111,12.1,70.9356666681,828.388,22270.0045586,700.043944418,58504.98225,717.678500055,5131.368,100153.6180526,17189.326,6.05,1753.3833333,12.8865,207338.664805641,0,0,0.11,0,0.28,0,0.02,0.48,0.08,0,0.01,0
27,UTTAR KANNAD,1,2.14,2.145,1.185,4.68,0.255,13.72,1.33,2.035,1.285,0.75,0,30.525,0.272222222,1191.3,1466.3,41.25,11039.05,243.9111111,41.8,1.633333333,57343.08333,13.2,2.2,0,0.272222222,2549.382,3145.2135,48.88125,51662.754,62.1973333305,573.496,2.17233333289,116693.17457655,16.962,1.65,0,174756.155215435,0,0.01,0.02,0,0.3,0,0,0,0.67,0,0,0
28,DAKSHIN KANNAD,1,0,0,0,0,0.23,0,0,2.805,0,1,1,6.035,0,0,0,0,0,0,0,0,42884.10556,0,0,56.89444444,0,0,0,0,0,0,0,0,120289.9160958,0,0,56.89444444,120346.81054024,0,0,0,0,0,0,0,0,1,0,0,0
29,Udupi,0,1.51,2.175,1.25,3.415,0.205,0,0,2.96,0,0,1,12.515,0,1.1,0,0,0,0,0,0,21418.62778,0,0,0.272222222,0,1.661,0,0,0,0,0,0,63399.1382288,0,0,0.272222222,63401.071451022,0,0,0,0,0,0,0,0,1,0,0,0
30,Yadgir,1.43,0.94,0.945,1.31,3.375,0.455,11.31,1.2,3.015,0,0.85,0.9625,25.7925,6139.155556,113994.65,22839.98889,37551.25,103.4,25280.2,273.35,2.722222222,111664.85,0,82160.96109,112.9722222,8778.99244508,107154.971,21583.78950105,49192.1375,348.975,11502.491,3091.5885,3.2666666664,336669.52275,0,69836.8169265,108.7357638675,608271.287053164,0.01,0.18,0.04,0.08,0,0.02,0.01,0,0.55,0,0.11,0
