District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk,yield__1_n
1,35182,1.24,4872.100992,1730.916,1101.492,1269,4384.8908928,1.36,110.1492,2.59
2,35182,0.76,6550.230579,1.254,0.798,1.5,5895.2075211,0.84,0.0798,3.03
3,35182,1.13,5468.024776,73525.936,46789.232,59152,4921.2222984,1.24,4678.9232,2.33
4,35182,1.3,4337.526126,74925.565,47679.905,52395.5,3903.7735134,1.43,4767.9905,2.16
5,35182,0.9,6550.230579,6.93,4.41,7,5895.2075211,0.99,0.441,3
6,35182,0.93,5618.334657,478.764,304.668,468,5056.5011913,1.02,30.4668,2.88
7,35182,0.68,4872.100992,17461.686,11111.982,23344.5,4384.8908928,0.75,1111.1982,2.04
8,35182,1.2,5269.622938,11293.26,7186.62,8555.5,4742.6606442,1.32,718.662,1.27
9,35182,0.88,6550.230579,76.472,48.664,79,5895.2075211,0.97,4.8664,2.49
10,35182,1.03,6066.799366,2023.538,1287.706,1786,5460.1194294,1.13,128.7706,1.9
11,35182,0.72,5716.966935,7839.612,4988.844,9898.5,5145.2702415,0.79,498.8844,1.74
12,35182,1.29,5232.744286,5538.357,3524.409,3903,4709.4698574,1.42,352.4409,1.71
13,35182,0.78,5324.768486,41028.702,26109.174,47819,4792.2916374,0.86,2610.9174,2.01
14,35182,0.64,5177.328151,21437.152,13641.824,30450.5,4659.5953359,0.7,1364.1824,2.4
15,35182,1.05,5618.334657,75347.58,47948.46,65236,5056.5011913,1.16,4794.846,1.05
16,35182,0.76,6066.799366,72.314,46.018,86.5,5460.1194294,0.84,4.6018,2.85
17,35182,1.02,5466.73512,84772.149,53945.913,75554.5,4920.061608,1.12,5394.5913,1.38
18,35182,1.01,6066.799366,0,0,0,5460.1194294,1.11,0,3.75
19,35182,1.03,10200,0,0,0,9180,1.13,0,0.67
20,35182,0.94,5177.328151,7091.172,4512.564,6858,4659.5953359,1.03,451.2564,1.7
21,35182,0.79,5000,1.738,1.106,2,4500,0.87,0.1106,1.25
22,35182,1.05,5248.060164,52829.7,33618.9,45740,4723.2541476,1.16,3361.89,3
23,35182,2.13,4817.916179,245347.245,156130.065,104715,4336.1245611,2.34,15613.0065,2.41
24,35182,1.14,6550.230579,0.627,0.399,0.5,5895.2075211,1.25,0.0399,2
25,35182,0.93,11979.09524,1405.0905,894.1485,1373.5,10781.185716,1.02,89.41485,2.87
26,35182,0.67,6850.480895,828.388,527.156,1124,6165.4328055,0.74,52.7156,1.93
27,35182,2.14,5468.024776,2549.382,1622.334,1083,4921.2222984,2.35,162.2334,2.64
28,35182,0,6066.799366,0,0,0,5460.1194294,0,0,0
29,35182,1.51,6066.799366,1.661,1.057,1,5460.1194294,1.66,0.1057,166
30,35182,0.94,5618.334657,107154.971,68189.527,103631.5,5056.5011913,1.03,6818.9527,4.87
