District ID,tur,maize,rice
1,72210.08353029557,23827.468674320025,14626.44779538441
2,4653.1795814076895,3707.317843395752,3223.5025751965595
3,74837.27571570707,149471.7040189743,3780.0202653185816
4,58818.60187605375,126569.47661655025,170138.92150739598
5,40.08722697862523,1602.5292181501006,386.38355487127427
6,39459.52797613685,16654.219909716656,23012.252114146493
7,189204.0902284731,112999.55081498403,264635.3589565428
8,25131.102848000333,1221.6153901368443,14191.28176186282
9,6893.005042428697,2024.534781825077,28882.460175746226
10,13457.168983025002,23378.066586122655,3505.764430852339
11,36818.242274122014,38118.35399445669,34526.4037314213
12,185705.30007919812,63706.205737678305,13074.494183123523
13,34790.46219056012,2495.907577434905,17098.630232004973
14,21855.596017160366,14944.167730449484,24824.23625239015
15,14683.49439660756,59163.71912197423,552256.7864814182
16,61454.68183603008,33219.89120476219,40790.426959207725
17,185004.71964688538,26871.387802144727,18189.892550969886
18,4985.808750596498,8178.31721348775,8095.874035915753
19,1378.1803697209882,3741.1805790519397,1254.6390512270718
20,102453.11597764949,32695.717026266415,38066.16699608409
21,40956.41618879096,5257.341326359942,25647.2424848491
22,47046.090882365446,30523.283430080995,52198.625687553555
23,31507.42461426968,146804.09300148854,104104.4823842418
24,5898.579511763759,1596.8054476940388,383.61504054220194
25,101261.84068762691,52560.08586269097,7962.073449682113
26,4912.480917428125,26172.108025786292,15849.41105678559
27,3623.9457303555328,43532.95484400059,16963.09942564388
28,11466.536657586565,6492.7192351914355,16650.744107222003
29,7204.039571053676,99.27256961773136,2071.687859328594
30,125448.4145156472,3402.9367074902457,78979.64877686257
