District ID,Name,Latitude,Longitude,Population,,lat degrees,lat minutes,long degrees,long minutes
1,Bagalkot,16.2,75.75,1889752,,16,12,75,45
2,BANGALORE RURAL,13.4666667,77.6166667,9621551,,13,28,76,97
3,Belgaum,15.8666667,74.5666667,4779661,,15,52,74,34
4,BELLARY,15.15,76.9166667,2452595,,15,9,76,55
5,BENGALURU URBAN,13.5666667,77.05,990923,,12,94,77,3
6,Bidar,18.5166667,77.7666667,1703300,,17,91,77,46
7,Bijapur,16.8333333,75.7833333,2177331,,16,50,75,47
8,CHAMARAJANAGAR,11.9333333,77,1020791,,11,56,77,0
9,CHIKBALLAPUR,13.4333333,77.7666667,1255104,,13,26,77,46
10,CHIKMAGALUR,13.3,75.8166667,1137961,,13,18,75,49
11,CHITRADURGA,14.2333333,76.4333333,1659456,,14,14,76,26
12,DAVANGERE,14.5166667,75.9666667,1945497,,14,31,75,58
13,Dharwad,15.45,75.0833333,1847023,,15,27,75,5
14,Gadag,15.4166667,75.7,1064570,,15,25,75,42
15,Gulbarga,17.3166667,76.9,2566326,,17,19,76,54
16,Hassan,13.0166667,76.1666667,1776421,,13,1,76,10
17,Haveri,15.3333333,75.6333333,1597668,,14,80,75,38
18,Kodagu,12.6333333,75.3666667,554519,,12,38,75,22
19,Kolar,13.15,78.1833333,1536401,,13,9,78,11
20,Koppal,15.5833333,76.2166667,1389920,,15,35,76,13
21,Mandya,12.8666667,77.4666667,1805769,,12,52,76,88
22,Mysore,12.3,76.7,3001127,,12,18,76,42
23,Raichur,16.3666667,77.5333333,1928812,,16,22,77,32
24,RAMANAGARA,13.1833333,77.45,1082636,,12,71,77,27
25,Shimoga,13.9333333,75.6333333,1752753,,13,56,75,38
26,Tumkur,13.3333333,77.1333333,2678980,,13,20,77,8
27,UTTAR KANNAD,15.2,73.7833333,1437169,,14,72,73,47
28,DAKSHIN KANNAD,13.3333333,74.8833333,2089649,,12,80,74,53
29,Udupi,13.3333333,74.75,1177361,,13,20,74,45
30,Yadgir,17.2666667,77.2,1174271,,16,76,77,12
