District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk,yield_1_n
1,45535,14.35,783.0103714,484110.165,308070.105,30669,626.40829712,20.09,30807.0105,11.17
2,45535,11.18,1123.836341,571.857,363.909,46.5,899.0690728,15.65,36.3909,9.81
3,45535,11.18,1180.42,67534.467,42976.479,5491.5,944.336,15.65,4297.6479,10.62
4,45535,11.67,1072.260991,109095.2445,69424.2465,8498.5,857.8087928,16.34,6942.42465,9.55
5,45535,10.78,1123.836341,391.314,249.018,33,899.0690728,15.09,24.9018,8.07
6,45535,10.6,1016.70848,7048.47,4485.39,604.5,813.366784,14.84,448.539,13.22
7,45535,12.33,916.6558599,175457.7495,111654.9315,12936.5,733.32468792,17.26,11165.49315,11.92
8,45535,11.19,1374.871863,49826.832,31707.984,4048,1099.8974904,15.67,3170.7984,11.23
9,45535,12.82,1123.836341,14941.069,9507.953,1059.5,899.0690728,17.95,950.7953,12.70
10,45535,8.83,1026.989179,53805.1635,34239.6495,5539.5,821.5913432,12.36,3423.96495,9.26
11,45535,12,660.6606171,361231.2,229874.4,27366,528.52849368,16.8,22987.44,12.49
12,45535,11.6,938.9982355,82448.74,52467.38,6461.5,751.1985884,16.24,5246.738,8.57
13,45535,3.12,807.0500845,72212.712,45953.544,21041,645.6400676,4.37,4595.3544,4.04
14,45535,8.34,551.789494,273605.376,174112.512,29824,441.4315952,11.68,17411.2512,6.20
15,45535,11.61,1016.70848,49296.06,31370.22,3860,813.366784,16.25,3137.022,11.95
16,45535,12.72,1032.537037,930.468,592.116,66.5,826.0296296,17.81,59.2116,10.70
17,45535,5.92,790.2878974,41406.552,26349.624,6358.5,632.23031792,8.29,2634.9624,1.92
18,45535,0,1026.989179,0,0,0,821.5913432,0,0,0
19,45535,11,1519.484718,3630,2310,300,1215.5877744,15.4,231,11.92
20,45535,8.69,551.789494,122742.3395,78108.7615,12840.5,441.4315952,12.17,7810.87615,7.12
21,45535,12.4,1117.701149,2387,1519,175,894.1609192,17.36,151.9,11.39
22,45535,11.33,1284.748114,249.26,158.62,20,1027.7984912,15.86,15.862,10.44
23,45535,10.93,1016.70848,18725.8225,11916.4325,1557.5,813.366784,15.3,1191.64325,11.44
24,45535,9.52,1117.701149,109.956,69.972,10.5,894.1609192,13.33,6.9972,10.58
25,45535,13,901.3333333,14.3,9.1,1,721.06666664,18.2,0.91,12.00
26,45535,10.23,1573.4375,5131.368,3265.416,456,1258.75,14.32,326.5416,11.75
27,45535,13.72,1180.42,573.496,364.952,38,944.336,19.21,36.4952,13.95
28,45535,0,1026.989179,0,0,0,821.5913432,0,0,0
29,45535,0,1430.974633,0,0,0,1144.7797064,0,0,0
30,45535,11.31,1016.70848,3091.5885,1967.3745,248.5,813.366784,15.83,196.73745,12.15
