District ID,Cost,Yield,Price,Demand Max,Demand Min,Allocation,Price_n,Yield_n,Risk
1,36076,1.21,2216.827971,15.972,10.164,12,2549.35216665,1.15,1.0164
2,36076,2.075,2733.997613,90737.36375,57741.95875,39753.5,3144.09725495,1.97,5774.195875
3,36076,1.31,1379.5,1064.1785,677.2045,738.5,1586.425,1.24,67.72045
4,36076,1.18,1757.510656,15004.231,9548.147,11559.5,2021.1372544,1.12,954.8147
5,36076,1.715,2733.997613,23685.0075,15072.2775,12555,3144.09725495,1.63,1507.22775
6,36076,1.17,2102.708464,7.722,4.914,6,2418.1147336,1.11,0.4914
7,36076,1.2,2216.827971,50.16,31.92,38,2549.35216665,1.14,3.192
8,36076,1.98,1952.985816,32262.714,20530.818,14813,2245.9336884,1.88,2053.0818
9,36076,1.56,2733.997613,69537.468,44251.116,40523,3144.09725495,1.48,4425.1116
10,36076,1.295,2180.670738,56318.31975,35838.93075,39535.5,2507.7713487,1.23,3583.893075
11,36076,1.45,2128.133825,57167.99,36379.63,35842,2447.35389875,1.38,3637.963
12,36076,1.475,1879.891669,25041.665,15935.605,15434,2161.87541935,1.4,1593.5605
13,36076,1.61,1379.5,66.4125,42.2625,37.5,1586.425,1.53,4.22625
14,36076,1.2,1505,23.1,14.7,17.5,1730.75,1.14,1.47
15,36076,1.2,2102.708464,45.54,28.98,34.5,2418.1147336,1.14,2.898
16,36076,1.7,1836.091371,156235.695,99422.715,83548.5,2111.50507665,1.62,9942.2715
17,36076,1.2,1505,305.58,194.46,231.5,1730.75,1.14,19.446
18,36076,1.21,2180.670738,41.261,26.257,31,2507.7713487,1.15,2.6257
19,36076,1.86,1953.743082,113042.523,71936.151,55250.5,2246.8045443,1.77,7193.6151
20,36076,1.2,1505,45.54,28.98,34.5,1730.75,1.14,2.898
21,36076,1.585,2119.448017,112548.1555,71621.5535,64553,2437.36521955,1.51,7162.15535
22,36076,1.545,1968.702172,86434.02075,55003.46775,50858.5,2264.0074978,1.47,5500.346775
23,36076,1.2,2102.708464,55.44,35.28,42,2418.1147336,1.14,3.528
24,36076,2.075,2119.448017,141691.8938,90167.56879,62077.5,2437.36521955,1.97,9016.756879
25,36076,1.525,2612.542662,1250.57625,795.82125,745.5,3004.4240613,1.45,79.582125
26,36076,1.33,2216.827971,202351.1875,128768.9375,138312.5,2549.35216665,1.26,12876.89375
27,36076,1.33,1379.5,4.389,2.793,3,1586.425,1.26,0.2793
28,36076,0,2180.670738,0,0,0,2507.7713487,0,0
29,36076,0,2180.670738,0,0,0,2507.7713487,0,0
30,36076,1.2,2102.708464,6.6,4.2,5,2418.1147336,1.14,0.42
