District ID,District Name,capacity,B_P,C_P,G_P,J_P,Mz_P,M_P,O_P,Rg_P,R_P,S_P,T_P,W_P,Bajra,Cotton,Groundnut,Jowar,Maiz,Moong,Onion,Ragi,Rice,Soyabean,Tur,Wheat
1,Bagalkot,0,0.02,0,0.04,0.05,0.32,0,0.5,0,0,0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0
2,BANGALORE RURAL,0,0,0,0,0,0.35,0,0,0.63,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Belgaum,30309,0,0.05,0.03,0.11,0.5,0.01,0.05,0,0.11,0.07,0.01,0.05,0,1515.45,909.27,3333.99,15154.5,303.09,1515.45,0,3333.99,2121.63,303.09,1515.45
4,BELLARY,17400,0.01,0.06,0.06,0.06,0.4,0,0.08,0.01,0.31,0,0,0,174,1044,1044,1044,6960,0,1392,174,5394,0,0,0
5,BENGALURU URBAN,28625,0,0,0,0.01,0.18,0,0.01,0.74,0.04,0,0.02,0,0,0,0,286.25,5152.5,0,286.25,21182.5,1145,0,572.5,0
6,Bidar,66300,0,0,0,0.13,0.01,0.06,0.02,0,0,0.58,0.18,0.01,0,0,0,8619,663,3978,1326,0,0,38454,11934,663
7,Bijapur,0,0.02,0.02,0.02,0,0.32,0,0.35,0,0,0,0.2,0.07,0,0,0,0,0,0,0,0,0,0,0,0
8,CHAMARAJANAGAR,0,0,0.04,0.01,0.03,0.5,0,0.18,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CHIKBALLAPUR,0,0,0,0.08,0.04,0.59,0,0.06,0.2,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CHIKMAGALUR,0,0,0.01,0.02,0.06,0.26,0,0.24,0.12,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CHITRADURGA,41158,0,0.01,0.04,0,0.42,0,0.47,0.04,0,0,0.01,0,0,411.58,1646.32,0,17286.36,0,19344.26,1646.32,0,0,411.58,0
12,DAVANGERE,55123,0,0.01,0.01,0.01,0.53,0,0.08,0.01,0.35,0,0.01,0,0,551.23,551.23,551.23,29215.19,0,4409.84,551.23,19293.05,0,551.23,0
13,Dharwad,69634,0,0.15,0.04,0.07,0.41,0.02,0.13,0,0.03,0.1,0,0.04,0,10445.1,2785.36,4874.38,28549.94,1392.68,9052.42,0,2089.02,6963.4,0,2785.36
14,Gadag,58532,0,0.02,0.03,0.05,0.27,0,0.59,0,0.02,0,0,0.01,0,1170.64,1755.96,2926.6,15803.64,0,34533.88,0,1170.64,0,0,585.32
15,Gulbarga,168098,0.01,0.08,0,0.22,0.01,0.04,0.05,0,0.03,0.04,0.51,0.01,1680.98,13447.84,0,36981.56,1680.98,6723.92,8404.9,0,5042.94,6723.92,85729.98,1680.98
16,Hassan,11500,0,0,0,0.01,0.69,0,0,0.13,0.17,0,0,0,0,0,0,115,7935,0,0,1495,1955,0,0,0
17,Haveri,20357,0,0.1,0.01,0.02,0.79,0.01,0.02,0,0.04,0,0,0,0,2035.7,203.57,407.14,16082.03,203.57,407.14,0,814.28,0,0,0
18,Kodagu,947,0,0,0,0,0.34,0,0,0,0.65,0,0,0,0,0,0,0,321.98,0,0,0,615.55,0,0,0
19,Kolar,4400,0,0,0.04,0.01,0.02,0,0.03,0.85,0.05,0,0.01,0,0,0,176,44,88,0,132,3740,220,0,44,0
20,Koppal,55250,0.07,0.01,0.02,0.02,0.28,0,0.18,0,0.39,0,0.01,0,3867.5,552.5,1105,1105,15470,0,9945,0,21547.5,0,552.5,0
21,Mandya,30233,0,0,0,0.01,0.09,0,0.01,0.22,0.67,0,0,0,0,0,0,302.33,2720.97,0,302.33,6651.26,20256.11,0,0,0
22,Mysore,15000,0,0.1,0,0.01,0.27,0.01,0,0.08,0.52,0,0.01,0,0,1500,0,150,4050,150,0,1200,7800,0,150,0
23,Raichur,70432,0.03,0.26,0.03,0.16,0.02,0,0.02,0,0.45,0,0.02,0,2112.96,18312.32,2112.96,11269.12,1408.64,0,1408.64,0,31694.4,0,1408.64,0
24,RAMANAGARA,0,0,0,0.01,0,0.06,0,0,0.79,0.13,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Shimoga,33323,0,0,0,0,0.49,0,0,0,0.5,0,0,0,0,0,0,0,16328.27,0,0,0,16661.5,0,0,0
26,Tumkur,35725,0,0,0.11,0,0.28,0,0.02,0.48,0.08,0,0.01,0,0,0,3929.75,0,10003,0,714.5,17148,2858,0,357.25,0
27,UTTAR KANNAD,0,0,0.01,0.02,0,0.3,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,DAKSHIN KANNAD,32373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32373,0,0,0
29,Udupi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Yadgir,28680,0.01,0.18,0.04,0.08,0,0.02,0.01,0,0.55,0,0.11,0,286.8,5162.4,1147.2,2294.4,0,573.6,286.8,0,15774,0,3154.8,0
